정치인,일치율(%),TF 상위 단어,TF-IDF 상위 단어
이재명,88.0,"말, 지지, 의원, 법원, 조사, 사건, 서울, 유세, 대표, 발언, 국회, 내란, 재판, 투표, 당, 보수, 사람, 공약, 지역, 대한민국, 정책, 경제, 일, 정부, 오후, 생각, 윤석열, 위원회, 선거법, 문제, 법관, 가능, 단일, 파기, 판결, 강조, 사진, 공직, 김, 진행, 뒤, 사법, 전, 국가, 필요, 여론, 탄핵, 공동, 운동, 통합","지지, 의원, 법원, 조사, 사건, 서울, 유세, 대표, 발언, 국회, 내란, 재판, 투표, 보수, 사람, 공약, 지역, 대한민국, 정책, 경제, 정부, 오후, 생각, 윤석열, 위원회, 선거법, 문제, 법관, 가능, 단일, 파기, 판결, 강조, 사진, 공직, 진행, 사법, 국가, 필요, 여론, 탄핵, 공동, 운동, 시민, 통합, 선고, 사회, 경기, 결과, 시장"
김문수,82.0,"단일, 말, 당, 지지, 의원, 조사, 투표, 서울, 한, 대표, 경선, 윤석열, 유세, 국회, 사람, 여론, 생각, 오후, 윤, 보수, 위원장, 위원회, 뒤, 김, 대한민국, 대책, 탄핵, 공약, 당원, 결과, 발언, 사진, 입장, 전, 지도부, 사전, 오전, 내란, 중앙, 일, 토론, 대행, 비판, 주장, 문제, 앞, 총리, 계엄, 공동, 운동","단일, 지지, 의원, 조사, 투표, 서울, 대표, 경선, 윤석열, 유세, 국회, 사람, 여론, 생각, 오후, 보수, 위원장, 위원회, 대한민국, 대책, 탄핵, 공약, 당원, 결과, 발언, 사진, 입장, 지도부, 사전, 오전, 내란, 중앙, 토론, 대행, 비판, 주장, 문제, 총리, 계엄, 공동, 운동, 강조, 선출, 경제, 경기, 시장, 진행, 가능, 발표, 지역"
이준석,86.0,"말, 단일, 지지, 조사, 토론, 공약, 서울, 당, 보수, 윤석열, 발언, 의원, 생각, 대표, 유세, 사람, 정책, 국회, 경제, 여론, 문제, 토론회, 위원장, 정부, 권영국, 위원회, 가능, 지역, 윤, 중앙, 비판, 여성, 대책, 주장, 사회, 운동, 필요, 김, 투표, 일, 대한민국, 내란, 시작, 강조, 사진, 결과, 질문, 뒤, 정당, 앞","단일, 지지, 조사, 토론, 공약, 서울, 보수, 윤석열, 발언, 의원, 생각, 대표, 유세, 사람, 정책, 국회, 경제, 여론, 문제, 토론회, 위원장, 정부, 권영국, 위원회, 가능, 지역, 중앙, 비판, 여성, 대책, 사회, 주장, 운동, 필요, 투표, 대한민국, 내란, 시작, 강조, 사진, 결과, 질문, 정당, 입장, 국가, 한국, 이상, 시장, 계엄, 공동"
